"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"592","10/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221305"", ""K221305"")","AI-Rad Companion Organs RT","Siemens Medical Solutions USA, Inc","Radiology","QKB"
"593","10/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213857"", ""K213857"")","HeartFlow Analysis","HeartFlow, Inc.","Cardiovascular","PJA"
"594","10/18/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221632"", ""K221632"")","Spine CAMP™","Medical Metrics, Inc.","Radiology","QIH"
"595","10/20/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222361"", ""K222361"")","AI-Rad Companion (Musculoskeletal)","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"596","10/21/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223042"", ""K223042"")","Viz LVO ContaCT","Viz.Ai, Inc.","Radiology","QAS"
"597","10/25/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222070"", ""K222070"")","EndoNaut","Therenva SAS","Radiology","LLZ"
"598","10/27/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220332"", ""K220332"")","uMR Omega with uWS-MR-MRS","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","LNH"
"599","11/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221552"", ""K221552"")","EFAI ChestSuite XR Pneumothorax Assessment System","Ever Fortune.AI Co., Ltd.","Radiology","QFM"
"600","11/10/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221183"", ""K221183"")","AEYE-DS","AEYE Health, Inc.","Ophthalmic","PIB"
"601","11/10/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220408"", ""K220408"")","AVIEW RT ACS","Coreline Soft Co., Ltd.","Radiology","QKB"
"602","11/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222428"", ""K222428"")","Syngo Dynamics (Version VA40F)","Siemens Medical Solutions USA, Inc.","Radiology","QIH"
"603","11/16/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221762"", ""K221762"")","BoneMRI v1.4","MRlguidance B.V.","Radiology","QIH"
"604","11/18/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221330"", ""K221330"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"605","11/21/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223032"", ""K223032"")","SIS System (Version 5.6.0)","Surgical Information Sciences, Inc.","Radiology","QIH"
"606","11/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221624"", ""K221624"")","Avenda Health AI Prostate Cancer Planning Software","Avenda Health, Inc.","Radiology","POK"
"607","11/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221716"", ""K221716"")","CINA","AVICENNA.AI","Radiology","QAS"
"608","12/01/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220786"", ""K220786"")","STAR Apollo Mapping System","Rhythm Al, Ltd","Cardiovascular","DQK"
"609","12/05/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222692"", ""K222692"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QFM"
"610","12/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223247"", ""K223247"")","Swoop Portable MR Imaging System","Hyperfine, Inc.","Radiology","LNH"
"611","12/16/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220928"", ""K220928"")","Overjet Calculus Assist","Overjet, Inc.","Radiology","MYN"
"612","12/16/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222275"", ""K222275"")","Saige-Density","DeepHealth, Inc.","Radiology","QIH"
"613","12/16/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223268"", ""K223268"")","BrainInsight","Hyperfine, Inc.","Radiology","QIH"
"614","12/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223311"", ""K223311"")","Philips CT 3500","Philips Healthcare (Suzhou) Co., Ltd","Radiology","JAK"
"615","12/23/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K214036"", ""K214036"")","AVIEW","Coreline Soft Co., Ltd.","Radiology","QIH"
"616","12/23/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223442"", ""K223442"")","MR 5300 and MR 7700 R11 MR Systems","Philips Medical Systems Nederlands B.V.","Radiology","LNH"
"617","01/11/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223738"", ""K223738"")","Alpha Control Liner System (ACLS)","Coapt","Neurology","GXY"
"618","01/12/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222458"", ""K222458"")","AIBOLIT 3D+","AIbolit Technologies, LLC","Radiology","LLZ"
"619","01/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223502"", ""K223502"")","MR Diffusion Perfusion Mismatch V1.0","Olea Medical","Radiology","LLZ"
"620","01/18/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222593"", ""K222593"")","TruPlan Computed Tomography (CT) Imaging Software","Circle Cardiovascular Imaging Inc.","Radiology","LLZ"
"621","01/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223516"", ""K223516"")","VX1+","Volta Medical","Cardiovascular","DQK"
"622","01/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222406"", ""K222406"")","Clarius AI","Clarius Mobile Health Corp.","Radiology","QIH"
"623","01/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221868"", ""K221868"")","QOCA image Smart CXR Image Processing System","Quanta Computer Inc.","Radiology","QFM"
"624","02/01/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223396"", ""K223396"")","Rapid RV/LV","iSchemaView Inc.","Radiology","QIH"
"625","02/01/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230020"", ""K230020"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QFM"
"626","02/01/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222970"", ""K222970"")","LVivo IQS","DiA Imaging Analysis Ltd.","Radiology","QIH"
"627","02/02/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222803"", ""K222803"")","Oncospace","Oncospace, Inc.","Radiology","MUJ"
"628","02/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223296"", ""K223296"")","Videa Perio Assist","VideaHealth, Inc","Radiology","QIH"
"629","02/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223387"", ""K223387"")","V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"630","02/15/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222389"", ""K222389"")","ZEUS System","iRhythm Technologies, Inc.","Cardiovascular","DQK"
"631","02/15/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223407"", ""K223407"")","Versana Essential","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"632","02/16/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222755"", ""K222755"")","uMR 680","Shanghai United Imaging Intelligence Co., Ltd.","Radiology","LNH"
"633","02/16/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223028"", ""K223028"")","uCT ATLAS Astound with uWS-CT-Dual Energy Analysis","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","JAK"
"634","02/17/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN210022"", ""DEN210022"")","PMD-200","Medasense Biometrics Ltd.","Anesthesiology","QVE"
"635","02/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230197"", ""K230197"")","BoneMRI v1.6","MRIguidance B.V","Radiology","QIH"
"636","02/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230208"", ""K230208"")","Swoop® Portable MR Imaging System™","Hyperfine, Inc.","Radiology","LNH"
"637","02/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222579"", ""K222579"")","Belun Sleep System BLS-10","Belun Technology Company Limited","Anesthesiology","MNR"
"638","02/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221564"", ""K221564"")","Brainomix 360 e-ASPECTS","Brainomix Limited","Radiology","POK"
"639","02/24/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN220063"", ""DEN220063"")","Caption Interpretation Automated Ejection Fraction Software","Caption Health, Inc","Radiology","QVD"
"640","02/24/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221592"", ""K221592"")","AVIEW Lung Nodule CAD","Coreline Soft Co., Ltd.","Radiology","LLZ"
"641","03/01/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221680"", ""K221680"")","Xeleris V Processing and Review System","GE Healthcare","Radiology","LLZ"
"642","03/02/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222176"", ""K222176"")","BoneView","Gleamer","Radiology","QBS"
"643","03/02/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222884"", ""K222884"")","Rapid NCCT Stroke","iSchemaView Inc.","Radiology","QAS"
"644","03/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222819"", ""K222819"")","Aquilion Serve (TSX-307A/1) V1.2 with AiCE-i","Canon Medical Systems Corporation","Radiology","JAK"
"645","03/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223726"", ""K223726"")","Aquilion Precision (TSX-304A/4) V10.14 with AiCE","Canon Medical Systems Corporation","Radiology","JAK"
"646","03/08/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN220039"", ""DEN220039"")","Sofia 2 SARS Antigen+ FIA, Sofia 2 SARS Antigen+ FIA Control Swab Set","Quidel Corporation","Microbiology","QVF"
"647","03/09/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223514"", ""K223514"")","Spectral Bone Marrow","GE Medical Systems, LLC","Radiology","JAK"
"648","03/09/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221706"", ""K221706"")","AccuContour","Manteia Technologies Co., Ltd.","Radiology","QKB"
"649","03/10/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223325"", ""K223325"")","uMI Panorama","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","KPS"
"650","03/17/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223073"", ""K223073"")","AIio","AIio, Inc.","Gastroenterology-Urology","DRG"
"651","03/17/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223443"", ""K223443"")","Viz AAA","Viz.ai, Inc.","Radiology","QFM"
"652","03/17/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221772"", ""K221772"")","NeuroRPM","New Touch Digital Inc.","Neurology","GYD"
"653","03/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223490"", ""K223490"")","FlightPlan for Embolization","GE Medical Systems SCS","Radiology","LLZ"
"654","03/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222036"", ""K222036"")","MPXA-2000","Medipixel, Inc.","Radiology","QIH"
"655","03/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222746"", ""K222746"")","Overjet Caries Assist","Overjet, Inc.","Radiology","MYN"
"656","03/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222174"", ""K222174"")","RadioLens v1.0","Synapsica","Radiology","QIH"
"657","03/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222179"", ""K222179"")","Annalise Enterprise CXR Triage Trauma","Annalise-AI Pty Ltd","Radiology","QFM"
"658","03/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222268"", ""K222268"")","Annalise Enterprise CXR Triage Trauma","Annalise-AI Pty Ltd","Radiology","QFM"
"659","03/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223343"", ""K223343"")","MAGNETOM Amira; MAGNETOM Sempra","Siemens Medical Solutions USA Inc.","Radiology","LNH"
"660","03/28/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221921"", ""K221921"")","DTX Studio Clinic 3.0","Nobel Biocare AB","Radiology","MYN"
"661","03/29/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222312"", ""K222312"")","RayStation 12A","Raysearch Laboratories AB (Publ)","Radiology","MUJ"
"662","03/31/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213272"", ""K213272"")","Formus Hip","Formus Labs, Ltd","Radiology","QIH"
"663","03/31/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220068"", ""K220068"")","Butterfly iQ/iQ+ Ultrasound System","Butterfly Network, Inc.","Radiology","IYO"
"664","04/03/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223240"", ""K223240"")","Annalise Enterprise CTB Triage Trauma","Annalise-AI Pty Ltd","Radiology","QAS"
"665","04/05/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223630"", ""K223630"")","Reveal LINQ Insertable Cardiac Monitor, LINQ II Insertable Cardiac Monitor, AccuRhythm AI ECG Classification System","Medtronic, Inc.","Cardiovascular","MXD"
"666","04/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222360"", ""K222360"")","AI-Rad Companion (Cardiovascular)","Siemens Medical Solutions U.S.A.","Radiology","JAK"
"667","04/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223458"", ""K223458"")","Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, MR 5300 and MR 7700 MR Systems","Philips Medical Systems Nederland B.V.","Radiology","LNH"
"668","04/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223774"", ""K223774"")","Contour ProtégéAI","MIM Software Inc.","Radiology","QKB"
"669","04/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230575"", ""K230575"")","Limbus Contour","Limbus AI Inc.","Radiology","LLZ"
"670","04/07/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230658"", ""K230658"")","SKOUT® system","Iterative Scopes Inc.","Gastroenterology-Urology","QNP"
"671","04/11/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223830"", ""K223830"")","Ultrasound System 2300","BK Medical Aps","Radiology","IYN"
"672","04/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230264"", ""K230264"")","Ezra Flash","Ezra AI Inc.","Radiology","LLZ"
"673","04/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213986"", ""K213986"")","CerebralGo Plus","Yukun (Beijing) Technology Co., Ltd","Radiology","QIH"
"674","04/14/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230685"", ""K230685"")","AutoContour Model RADAC V3","Radformation, Inc.","Radiology","QKB"
"675","04/17/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230772"", ""K230772"")","Quantib Prostate","Quantib B.V.","Radiology","LLZ"
"676","04/19/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223552"", ""K223552"")","Brainlab Elements – Trajectory Planning (2.6), Elements Stereotaxy, Elements Lead Localization, Elements Trajectory Planning Cranial","Brainlab AG","Neurology","HAW"
"677","04/19/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230023"", ""K230023"")","ART-Plan","Therapanacea SAS","Radiology","QKB"
"678","04/20/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223287"", ""K223287"")","Velacur","Sonic Incytes","Radiology","IYO"
"679","04/20/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230807"", ""K230807"")","Deep Learning Image Reconstruction","GE Healthcare Japan Corporation","Radiology","JAK"
"680","04/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223501"", ""K223501"")","ViewFinder Software Version 1.1","Elaitra Ltd","Radiology","QIH"
"681","04/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230084"", ""K230084"")","HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System","Samsung Medison CO., LTD.","Radiology","IYN"
"682","04/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222676"", ""K222676"")","Ceevra Reveal 3","Ceevra, Inc.","Radiology","QIH"
"683","04/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230223"", ""K230223"")","iCAC Device","Bunkerhill, Inc.","Radiology","JAK"
"684","04/26/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230552"", ""K230552"")","MR DWI/FLAIR Measurement V1.0","Olea Medical","Radiology","LLZ"
"685","04/26/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230553"", ""K230553"")","LINQ II Insertable Cardiac Monitor, CareLink SmartSync LINQ II ICM Application","Medtronic, Inc.","Cardiovascular","MXD"
"686","04/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223212"", ""K223212"")","Precision DL","GE Healthcare","Radiology","KPS"
"687","04/27/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223734"", ""K223734"")","ENT EM","Brainlab AG","Ear Nose & Throat","PGW"
"688","05/02/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230977"", ""K230977"")","SIS System","Surgical Information Sciences, Inc.","Radiology","QIH"
"689","05/02/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230292"", ""K230292"")","Samsung ECG Monitor Application with Irregular Heart Rhythm Notification","Samsung Electronics Co.,Ltd.","Cardiovascular","QDA"
"690","05/04/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230082"", ""K230082"")","Auto Segmentation","GE Medical Systems, LLC","Radiology","QKB"
"691","05/04/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223771"", ""K223771"")","Lumify Diagnostic Ultrasound System","Philips Ultrasound","Radiology","IYN"
"692","05/10/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220437"", ""K220437"")","Neurophet AQUA","NEUROPHET, Inc.","Radiology","LLZ"
"693","05/11/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223623"", ""K223623"")","SubtleMR (2.3.x)","Subtle Medical, Inc.","Radiology","LLZ"
"694","05/12/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231190"", ""K231190"")","EPIQ Series Diagnostic Ultrasound System","Philips Ultrasound LLC","Radiology","IYN"
"695","05/17/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222728"", ""K222728"")","Radiation Planning Assistant (RPA)","University of Texas, MD Anderson Cancer Center","Radiology","MUJ"
"696","05/19/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231143"", ""K231143"")","GI Genius System 100 and GI Genius System 200","Cosmo Artificial Intelligence - AI, Ltd.","Gastroenterology-Urology","QNP"
"697","05/19/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212758"", ""K212758"")","Autoplaque","Cedars-Sinai Medical Center: AIM","Radiology","LLZ"
"698","05/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223504"", ""K223504"")","Ceribell Status Epilepticus Monitor","Ceribell, Inc.","Neurology","OMB"
"699","05/23/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230096"", ""K230096"")","Genius AI Detection 2.0 with CC-MLO Correlation","Hologic, Inc.","Radiology","QDQ"
"700","05/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223491"", ""K223491"")","Critical Care Suite with Pneumothorax Detection AI Algorithm, Critical Care Suite 2.1, Critical Care Suite","GE Medical Systems, LLC","Radiology","QBS"
"701","05/25/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230273"", ""K230273"")","Saranas Early Bird Bleed Monitoring System","Saranas, Inc.","Cardiovascular","QFJ"
"702","05/30/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223523"", ""K223523"")","Sonic DL","GE Medical Systems, LLC","Radiology","LNH"
"703","06/06/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223855"", ""K223855"")","FEops HEARTguideTM, FEops HEARTguideTM ALPACA","FEops NV","Radiology","QIH"
"704","06/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230112"", ""K230112"")","CAC Software","Imbio, Inc.","Radiology","JAK"
"705","06/16/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223357"", ""K223357"")","EyeArt v2.2.0","Eyenuk, Inc","Ophthalmic","PIB"
"706","06/16/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223646"", ""K223646"")","IB Lab LAMA","IB Lab Gmbh","Radiology","QIH"
"707","06/16/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223556"", ""K223556"")","DeepCatch","MEDICALIP Co., Ltd","Radiology","QIH"
"708","06/20/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231459"", ""K231459"")","HepaFatSmart (V2.0.0)","Resonance Health Analysis Services Pty Ltd.","Radiology","LNH"
